;AA;AXP;BA;BAC;CAT;CSCO;CVX;DD;DIS;GE;HD;HPQ;IBM;INTC;JNJ;JPM;KO;MCD;MMM;MRK;MSFT;PFE;PG;T;TRV;UNH;UTX;VZ;WMT;XOM
31/12/2010;15.39;42.92;65.26;13.34;93.66;20.23;91.25;49.88;37.51;18.29;35.06;42.10;146.76;21.03;61.85;42.42;65.77;76.76;86.30;36.04;27.91;17.51;64.33;29.38;55.71;36.11;78.72;35.78;53.93;73.12
30/12/2010;15.21;42.51;65.01;13.28;93.87;20.23;91.60;49.69;37.48;18.19;34.86;42.26;146.67;21.02;61.94;42.23;65.50;76.76;86.54;36.01;27.85;17.49;64.28;29.33;55.54;35.94;78.85;35.56;54.07;73.36
29/12/2010;15.13;42.86;65.05;13.31;93.78;20.25;91.37;50.02;37.60;18.27;34.89;42.32;146.52;20.94;62.13;42.36;65.45;76.99;86.76;36.21;27.97;17.60;64.40;29.31;55.59;35.91;79.10;35.58;54.08;73.37
28/12/2010;15.25;42.79;64.86;13.34;93.69;20.35;91.19;49.82;37.36;18.32;35.09;42.25;145.71;20.88;62.05;42.61;65.36;76.43;86.74;36.20;28.01;17.59;64.76;29.23;55.66;35.72;79.29;35.62;53.74;73.42
27/12/2010;15.23;43.05;64.75;13.27;94.07;20.16;90.12;49.63;37.48;18.19;35.24;41.82;145.34;20.84;61.93;42.67;65.07;76.43;87.01;36.23;28.07;17.49;64.67;29.25;55.79;35.54;79.27;35.50;53.57;73.01
23/12/2010;15.34;42.77;65.06;13.06;94.45;19.69;90.68;49.77;37.70;18.04;35.09;41.74;145.89;20.84;62.25;42.08;65.58;76.96;86.47;36.29;28.30;17.61;65.24;29.20;55.48;35.77;79.50;35.44;53.60;73.20
22/12/2010;15.14;42.81;64.61;13.38;94.57;19.56;89.92;49.80;37.95;18.06;35.18;41.48;145.95;20.89;62.02;42.16;65.59;77.01;86.72;36.22;28.19;17.56;64.95;29.13;55.85;35.84;79.52;35.18;53.31;72.80
21/12/2010;14.89;43.23;64.19;12.98;94.63;19.53;89.23;49.97;37.33;17.90;35.08;41.91;145.74;21.10;62.34;41.00;65.49;76.86;86.53;36.18;28.07;17.38;64.87;29.07;55.87;35.33;79.35;34.94;53.65;72.72
20/12/2010;14.77;42.50;63.27;12.62;93.30;19.62;88.80;49.72;37.06;17.70;35.20;41.89;144.51;21.23;62.49;39.95;65.31;76.92;87.34;36.50;27.81;17.17;64.97;29.13;55.45;35.18;78.90;34.74;53.77;72.22
17/12/2010;14.56;44.01;65.03;12.57;92.59;19.55;88.49;49.86;37.05;17.70;35.10;41.96;145.00;21.46;62.54;39.67;65.70;76.81;86.37;36.48;27.90;17.03;64.81;29.21;55.18;35.05;78.80;34.64;54.41;72.17
16/12/2010;14.46;44.57;64.40;12.52;93.20;19.75;89.06;49.45;37.01;17.77;35.12;41.95;144.55;21.30;62.40;40.01;65.34;76.71;86.40;36.84;27.99;17.22;64.50;29.23;55.36;35.61;79.02;34.76;54.63;72.22
15/12/2010;13.96;46.12;64.24;12.29;93.12;19.47;88.01;49.24;36.95;17.49;34.79;41.23;144.72;21.28;62.57;40.21;64.74;76.98;85.81;36.66;27.85;17.08;63.64;29.13;55.15;35.45;78.95;34.63;54.23;71.85
14/12/2010;14.20;46.20;64.49;12.40;92.09;19.54;88.38;49.13;37.24;17.69;34.72;41.54;145.82;21.47;62.77;40.79;63.90;77.11;85.84;36.55;27.62;17.11;63.55;29.34;55.34;36.50;78.85;34.67;54.45;72.18
13/12/2010;14.36;46.37;63.79;12.54;91.63;19.58;88.37;48.56;37.13;17.62;34.56;41.65;144.28;21.50;61.86;41.51;64.85;77.11;85.30;36.10;27.25;17.19;63.19;28.78;55.29;36.90;78.15;34.11;54.21;72.36
10/12/2010;14.25;46.26;64.16;12.80;89.94;19.70;87.03;48.62;36.66;17.72;34.40;42.62;144.82;21.91;61.91;41.43;64.65;77.56;84.32;35.99;27.34;17.02;63.20;28.89;54.78;36.67;78.40;34.04;54.28;72.18
09/12/2010;14.15;45.81;64.61;12.65;89.67;19.70;86.65;48.32;36.74;17.13;34.32;42.54;144.30;21.81;62.06;40.81;64.83;77.61;84.11;35.67;27.08;16.76;62.87;28.82;54.63;36.65;77.63;33.56;54.34;72.00
08/12/2010;14.14;45.63;65.18;12.00;89.62;19.35;86.14;48.88;36.97;17.04;34.03;42.66;144.98;21.82;62.45;40.26;64.39;78.74;84.68;35.40;27.23;16.72;62.63;28.63;55.06;36.84;77.69;32.98;54.49;71.85
07/12/2010;14.15;44.78;66.23;11.57;90.35;19.39;86.30;48.96;37.33;17.03;33.55;42.19;144.02;21.58;62.31;39.25;64.14;80.34;84.19;35.37;26.87;16.77;62.15;28.54;54.84;36.77;78.54;32.95;55.09;71.46
06/12/2010;14.24;45.00;66.59;11.64;89.20;19.43;84.95;48.93;37.56;16.70;33.34;42.85;144.99;21.70;62.20;39.90;63.99;79.58;86.88;35.25;26.84;16.81;62.06;28.30;55.02;37.29;78.41;32.89;54.49;71.31
03/12/2010;14.23;44.88;66.54;11.86;89.38;19.07;84.89;49.24;37.59;16.78;33.48;43.03;145.38;21.69;62.56;39.61;64.50;79.76;86.94;35.30;27.02;16.72;62.33;28.49;54.86;37.82;78.74;32.90;54.62;71.19
02/12/2010;14.09;44.98;66.59;11.68;88.62;19.22;84.50;48.63;37.34;16.68;33.36;43.11;145.18;21.70;62.60;39.31;64.90;79.38;86.51;35.22;26.89;16.69;62.36;28.55;55.11;38.05;78.70;32.74;54.75;71.48
01/12/2010;13.57;44.30;65.72;11.29;87.45;19.32;82.70;48.35;37.12;16.30;31.61;42.57;144.41;21.48;62.42;38.15;64.70;79.29;86.05;35.06;26.04;16.70;62.15;28.28;54.89;37.67;78.26;32.35;54.70;71.33
30/11/2010;13.13;43.22;63.77;10.95;84.60;19.16;80.97;46.99;36.51;15.83;30.21;41.93;141.46;21.16;61.55;37.40;63.17;78.30;83.98;34.47;25.26;16.30;61.07;27.79;53.99;36.52;75.27;32.01;54.09;69.56
29/11/2010;13.29;43.33;64.36;11.31;83.67;19.44;81.69;46.92;36.42;15.97;30.69;42.60;142.89;21.33;61.91;37.91;63.39;78.26;84.22;34.69;25.31;16.56;62.13;27.70;54.18;36.59;74.80;31.90;53.85;69.45
26/11/2010;13.17;42.27;64.80;11.12;84.13;19.49;82.05;46.31;36.70;15.80;31.00;43.20;143.90;21.34;62.30;37.50;64.11;78.54;84.40;34.79;25.25;16.49;62.13;27.93;54.37;35.88;75.28;32.21;53.74;69.23
24/11/2010;13.31;43.00;65.41;11.28;84.69;19.46;82.93;47.06;36.87;15.94;31.16;43.74;145.81;21.39;63.29;38.16;64.61;79.48;84.66;35.15;25.37;16.69;62.60;28.14;55.11;36.18;76.09;32.35;54.01;69.88
23/11/2010;13.13;41.95;63.60;11.09;82.63;19.20;81.75;46.05;36.12;15.76;30.91;44.19;143.18;21.09;62.87;37.63;63.62;79.01;83.59;34.81;25.12;16.57;62.61;28.03;54.30;36.05;74.18;32.39;53.67;68.98
22/11/2010;13.29;42.22;64.03;11.30;84.00;19.56;83.45;46.80;36.95;16.03;31.09;43.25;145.39;21.25;63.62;38.51;64.27;79.52;84.90;35.59;25.73;16.63;63.56;28.29;55.03;36.46;75.11;32.50;54.38;70.19
19/11/2010;13.38;42.75;63.59;11.66;83.97;19.61;83.94;47.10;37.01;16.22;31.22;42.49;145.05;21.14;63.83;39.41;64.32;79.64;85.01;35.33;25.69;16.80;64.05;28.32;55.49;36.00;75.31;32.59;54.39;70.54
18/11/2010;13.38;42.25;64.61;11.70;83.11;19.61;83.82;46.53;37.58;16.04;30.87;41.69;144.36;21.02;63.83;39.66;63.84;79.02;85.55;35.29;25.84;16.83;64.02;28.44;55.79;35.63;75.03;32.65;53.98;70.31
17/11/2010;12.94;41.41;62.50;11.62;81.17;19.41;82.46;45.66;37.22;15.81;30.83;40.97;141.95;21.08;63.06;39.18;62.52;78.37;83.95;34.47;25.57;16.48;63.27;27.96;55.37;35.33;73.64;32.34;53.77;69.01
16/11/2010;13.03;41.93;62.78;11.94;80.37;19.44;82.48;45.68;36.92;15.86;31.71;41.80;142.24;21.07;63.14;39.61;62.08;77.42;84.24;34.10;25.81;16.60;63.45;28.24;54.73;35.01;74.16;32.19;54.26;68.94
15/11/2010;13.40;42.70;63.61;12.10;81.82;19.95;84.86;46.31;37.25;16.20;31.39;42.54;143.64;21.30;64.14;40.08;62.96;79.07;86.20;34.54;26.20;16.75;64.29;28.63;56.78;35.47;75.31;32.77;53.95;70.48
12/11/2010;13.49;42.70;63.09;12.12;81.04;20.15;85.44;46.52;37.75;16.25;31.44;42.21;143.74;21.53;63.67;39.61;62.92;78.85;86.24;34.71;26.27;16.85;64.33;28.46;56.31;36.67;74.88;32.56;54.13;70.99
11/11/2010;13.81;43.35;65.37;12.37;82.44;20.52;86.09;47.19;35.93;16.35;31.70;43.10;145.43;21.21;63.92;40.02;62.80;79.70;86.50;35.21;26.68;16.98;64.36;28.83;56.41;37.47;75.39;32.63;54.34;71.83
10/11/2010;13.88;43.56;67.07;12.57;82.46;24.49;85.17;47.19;36.99;16.55;31.68;44.16;146.55;21.04;63.95;40.62;62.55;79.50;86.25;34.96;26.94;16.83;64.57;29.05;56.76;37.16;76.15;32.85;54.51;71.13
09/11/2010;13.75;43.36;69.25;12.27;81.91;24.35;83.56;47.61;36.86;16.62;31.47;44.12;146.14;21.16;64.31;39.90;62.64;79.10;85.30;35.05;26.95;16.99;64.81;29.18;56.58;36.98;76.69;33.01;55.05;70.63
08/11/2010;13.96;43.90;70.21;12.60;83.12;24.39;84.80;48.37;37.06;16.71;31.49;44.25;146.46;21.23;64.33;40.51;62.46;79.31;85.86;35.62;26.81;17.05;64.75;29.18;56.58;37.12;76.63;33.17;54.91;70.32
05/11/2010;14.00;44.07;71.27;12.36;83.54;24.26;84.98;48.18;37.20;16.73;31.92;43.72;146.92;21.24;64.65;40.94;62.58;79.30;86.34;35.70;26.85;17.18;65.00;29.27;57.44;36.86;76.75;33.43;55.20;70.00
04/11/2010;13.60;43.73;70.85;12.13;83.18;24.21;85.14;48.36;37.03;16.51;31.94;44.07;146.79;20.97;64.76;39.80;62.45;79.18;87.04;36.65;27.14;17.38;65.00;29.44;57.24;36.80;76.24;33.52;55.36;69.38
03/11/2010;13.14;42.07;68.94;11.52;79.88;23.71;82.70;47.06;36.29;16.06;31.46;43.81;144.17;20.48;64.19;37.72;61.95;78.50;85.30;36.51;27.03;17.59;64.31;29.06;55.91;36.66;75.05;32.99;54.91;67.97
02/11/2010;13.24;42.39;69.78;11.40;79.75;23.17;82.15;47.42;36.11;15.94;31.51;42.91;143.84;20.34;63.88;36.96;61.86;78.40;84.80;36.61;27.39;17.45;64.02;28.94;55.52;37.00;75.25;32.80;54.79;67.84
01/11/2010;13.05;41.56;70.48;11.50;79.27;22.92;81.45;46.90;36.03;15.95;30.71;42.49;143.32;20.57;63.69;37.42;61.71;77.88;83.98;36.25;26.95;17.62;63.62;28.72;55.77;36.11;74.64;32.40;54.31;66.95
29/10/2010;13.14;41.46;70.64;11.45;78.60;22.86;82.60;47.28;36.13;16.02;30.90;42.04;143.60;20.05;63.74;37.63;61.32;77.77;84.22;36.31;26.67;17.42;63.57;28.52;55.20;36.05;74.77;32.48;54.17;66.49
28/10/2010;12.65;41.22;71.27;11.53;77.74;23.19;84.44;47.03;36.51;16.08;31.19;42.66;140.90;20.47;63.56;37.51;61.21;77.48;85.07;36.94;26.28;17.57;63.19;28.50;54.74;36.25;74.70;32.41;54.08;66.22
27/10/2010;12.70;40.68;70.86;11.54;78.22;23.29;84.31;46.96;35.92;16.11;30.90;42.39;141.43;20.19;63.57;37.54;61.19;77.48;90.37;36.46;26.05;17.28;63.08;28.35;54.73;35.93;74.46;32.51;53.87;65.67
26/10/2010;12.87;40.10;71.30;11.30;78.65;23.40;85.15;47.22;35.96;16.16;31.29;42.95;140.67;20.04;63.84;37.20;61.24;78.76;90.47;37.07;25.90;17.49;62.86;28.31;55.03;37.57;74.67;32.50;54.56;66.53
25/10/2010;12.88;39.30;71.66;11.16;79.05;23.61;84.87;47.70;35.46;16.06;31.40;42.88;139.84;19.87;63.98;37.07;61.01;78.70;90.90;37.42;25.19;17.62;63.54;28.36;55.59;37.56;75.01;32.35;53.95;66.20
22/10/2010;12.72;39.03;71.26;11.44;78.33;23.48;84.55;46.83;34.97;16.06;31.48;42.87;139.67;19.84;63.81;37.70;61.61;78.55;90.44;37.10;25.38;17.50;63.40;28.29;55.10;37.26;74.94;32.09;54.06;66.34
21/10/2010;12.78;40.27;71.50;11.36;78.89;23.26;84.25;47.13;34.68;16.10;31.81;42.40;139.83;19.76;63.99;37.70;61.47;78.44;90.55;37.10;25.42;17.63;63.51;28.34;54.98;36.49;74.97;32.52;54.03;66.32
20/10/2010;12.95;39.73;71.36;11.75;80.32;23.40;84.02;47.08;34.62;16.05;30.73;42.82;139.07;19.64;63.60;38.10;61.15;77.41;89.47;36.99;25.31;17.66;63.37;28.61;54.64;36.73;73.92;32.64;53.47;66.01
19/10/2010;12.67;39.31;69.05;11.80;78.55;22.97;82.79;45.98;34.24;16.07;30.41;42.83;138.03;19.21;63.29;37.69;60.34;76.99;88.55;36.52;25.10;17.39;63.18;28.21;53.76;35.30;73.61;32.16;53.32;65.12
18/10/2010;13.14;39.55;70.23;12.34;80.24;23.30;84.48;47.11;34.75;16.25;30.53;43.32;142.83;19.19;63.86;38.20;60.00;77.32;89.66;37.23;25.82;17.80;63.35;28.62;54.40;36.25;74.56;32.59;53.76;66.28
15/10/2010;13.13;39.09;70.11;11.98;79.75;23.36;83.61;46.67;34.88;16.30;30.70;42.82;141.06;19.32;63.57;37.15;59.94;77.48;89.14;36.95;25.54;17.75;62.76;28.33;53.63;35.98;74.10;32.43;53.35;65.19
14/10/2010;13.13;39.44;71.36;12.60;79.91;23.07;83.90;46.49;34.85;17.16;30.81;42.13;141.50;19.32;63.74;38.72;59.91;77.04;89.07;37.15;25.23;17.66;62.80;28.50;53.46;35.78;74.15;32.44;53.25;65.30
13/10/2010;13.37;39.26;71.47;13.29;80.29;23.18;83.67;46.88;34.91;17.28;31.00;42.21;140.37;19.24;63.58;39.84;59.94;75.75;89.14;37.16;25.34;17.73;62.63;28.47;53.41;35.32;74.18;32.21;53.82;65.04
12/10/2010;13.20;38.54;70.22;13.52;79.34;22.62;83.84;46.29;34.48;17.19;31.41;41.35;139.85;19.77;63.29;40.40;59.60;75.58;88.15;36.64;24.83;17.48;62.02;28.39;52.82;35.02;72.98;32.54;53.92;64.70
11/10/2010;12.93;37.94;69.99;13.15;79.98;22.47;83.71;46.09;34.57;16.96;31.79;41.20;139.66;19.56;63.30;39.73;59.56;75.59;88.25;36.86;24.59;17.38;62.14;28.32;52.95;34.65;72.93;33.03;54.61;64.55
08/10/2010;12.89;37.99;69.23;13.18;80.37;22.48;83.94;46.66;34.51;17.12;31.89;41.15;138.85;19.52;63.23;39.31;59.41;76.10;89.16;36.91;24.57;17.46;61.86;28.22;52.81;34.35;72.91;32.83;54.41;64.38
07/10/2010;12.20;37.82;68.46;13.31;78.74;22.39;83.52;46.23;33.91;17.05;31.74;40.81;138.72;19.40;63.22;39.52;59.44;75.86;88.90;36.71;24.53;17.38;60.80;28.25;52.61;34.34;72.78;32.93;54.36;63.85
06/10/2010;12.37;38.02;68.58;13.39;79.08;22.30;83.89;45.87;33.72;16.90;31.74;40.74;137.84;19.31;63.21;39.90;59.80;75.56;89.89;37.01;24.43;17.26;60.87;28.62;52.82;33.95;72.87;33.36;54.56;63.94
05/10/2010;12.14;38.28;68.60;13.56;79.40;21.99;83.39;45.77;33.83;16.51;31.74;40.81;137.66;19.15;62.80;39.64;59.66;75.82;88.86;37.02;24.35;17.23;60.82;29.36;52.87;35.07;72.51;33.57;54.00;63.26
04/10/2010;11.92;39.05;66.33;13.15;77.27;21.76;81.31;44.42;33.14;16.10;31.67;40.64;135.25;18.87;61.67;38.95;58.88;74.95;86.70;36.52;23.91;16.90;59.96;28.86;52.12;34.54;70.53;33.03;53.57;62.19
