"Pais","Codigo.Pais","Indicador","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X"
"Antigua and Barbuda","ATG","Superficie forestal (% de la superficie terrestre)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4090913425793,23.3409101312811,23.2727267525414,23.2045455412432,23.136364329945,23.0681809512052,22.999999739907,22.9318185286089,22.8636373173107,22.7954539385709,22.7272727272727,22.6363637230613,22.5454547188499,22.4545457146385,22.363636710427,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,NA,NA,NA
"Antigua and Barbuda","ATG","Consumo de energía renovable (% del consumo total de energía final)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Australia","AUS","Superficie forestal (% de la superficie terrestre)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7320984600966,16.7360035406063,16.7399086211161,16.7438137016258,16.7477187821356,16.7516238626453,16.755528943155,16.7594340236648,16.7633391041745,16.7672441846843,16.771149265194,16.7399086211161,16.7086679770381,16.6774273329602,16.6461866888822,16.6149460448043,16.4996160004165,16.3842859560288,16.268955911641,16.1536258672533,16.0382958228655,16.0783879827656,16.1184801426656,16.1585723025656,16.1986644624657,16.2387566223657,16.2582780595994,NA,NA,NA
"Australia","AUS","Consumo de energía renovable (% del consumo total de energía final)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0095771593438,8.24547226023123,7.51647097195474,8.61699388238724,8.25994677877061,8.21780571247124,8.86597056035989,9.08024283629251,8.59507269440585,8.50727378721517,8.42334065854783,8.37028137206551,8.73872071261756,7.15106567010273,6.68042572078818,6.71197454696042,6.85326682346818,6.95158629028628,6.78956927368411,7.11282715112279,8.10902729265093,8.25618114983427,8.247109347095,9.08848190986827,9.27819845713441,9.18050295980786,NA,NA,NA,NA
"Austria","AUT","Superficie forestal (% de la superficie terrestre)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.7253572293533,45.8004353496232,45.8755134698928,45.950594546576,46.0256726668458,46.1007507871155,46.1758289073853,46.250907027655,46.3259881043382,46.401066224608,46.4761443448777,46.5076301484167,46.5391129955423,46.5705987990813,46.6020816462067,46.6335674497457,46.6553650863179,46.6782943256654,46.7000895341963,46.7218876992125,46.7476496906663,46.7751145400785,46.80088081547,46.8357354847977,46.862087450764,46.8839001438401,46.9057128369164,NA,NA,NA
"Austria","AUT","Consumo de energía renovable (% del consumo total de energía final)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.135754145631,24.495798212077,26.1367915752356,26.3578077460666,25.6794546459802,25.6300879484846,24.0368773390085,24.8710509023689,24.4093544161425,26.4383107878083,26.3878560380378,25.4836790363306,24.6848696982507,22.5787940830621,23.2193672987658,24.1744174208452,26.254262515098,28.6009320732652,29.3561662009359,30.5143889874151,30.6592165744001,30.9885937243849,33.4265374778104,34.6806004056175,35.3942733418568,34.3949917477854,NA,NA,NA,NA
"Azerbaijan","AZE","Superficie forestal (% de la superficie terrestre)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2382926565485,10.2839564031388,10.2839560150825,10.3079895653554,10.3320231156283,10.3560566659011,10.380090216174,10.4041237664469,10.4438449838111,10.5168972588473,10.5538404187757,10.5670423176275,10.5783248521321,10.5870391200398,10.5975417846292,10.6121462884954,10.9323905945016,11.2507711662989,11.5683730833394,11.8864224283384,12.1987518806178,12.5156674971075,12.8328778254808,13.1499281333018,13.4664853684559,13.783676509869,14.0996733412023,NA,NA,NA
"Azerbaijan","AZE","Consumo de energía renovable (% del consumo total de energía final)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.722062718119182,0.804646397784736,1.2172505570543,1.98306604791652,1.51596100419613,1.36684006503242,1.7389026644512,1.98984878549775,2.48438139978064,2.14393611406855,2.06564607499202,1.75252349067175,2.35189856073918,2.94478210619856,3.07078446344723,3.3651961564827,2.86158684991581,3.78869994993945,3.08630745943865,3.2691447294693,4.44973428535868,3.55633258575353,2.84552187217877,2.52609484041716,2.11681861563155,2.31075768577815,NA,NA,NA,NA
"Burundi","BDI","Superficie forestal (% de la superficie terrestre)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2538940809969,10.8995324726045,10.5451708642122,10.190810444199,9.8364488358067,9.48208722741433,9.12772561902196,8.77336460481924,8.41900299642687,8.06464198222414,7.71028037383178,7.57788185761355,7.44548274720569,7.31308423098746,7.18068512057959,7.04828660436137,7.60903403023691,8.1697820503021,8.73052947617765,9.29127749624283,9.85202492211838,10.0311528856509,10.2102808491835,10.3894076243368,10.5685355878693,10.7476635514019,10.9267915149344,NA,NA,NA
"Burundi","BDI","Consumo de energía renovable (% del consumo total de energía final)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.2006722228931,94.2386626254569,94.9957826098264,94.9070927356396,95.117960231198,95.1118438929951,95.1893270552475,95.2427852157011,95.2616980939846,93.7495957944446,93.2256928383527,96.2308343457383,96.1568029616245,97.0155898842004,97.2651842102769,97.2914182808576,96.8564147765593,96.8927516102376,96.8461077521016,96.9196659596576,96.7578246382942,96.5942068051828,93.9586936952692,94.0692433762261,94.5981828190235,95.6789242535879,NA,NA,NA,NA
